日语词汇,假名/英语原词,中文翻译
理系,りけい,理科
貝,かい,贝；贝壳
甘み,あまみ,甜味
だいぶ,だいぶ,很，相当
自己,じこ,自己
地震,じしん,地震
天候,てんこう,（相对较短的时间内）天气状况
年金,ねんきん,养老金
幼稚園,ようちえん,幼儿园
ソフト,soft,柔软；软件
やりがい,やりがい,做的价值，做的意义
わがまま,わがまま,任性，放肆
わくわく,わくわく,（因期待或喜悦等）兴奋
移転,いてん,迁移，搬家
家事,かじ,家务
喜び,よろこび,喜悦；恭喜
気候,きこう,气候
空間,くうかん,空间
校長,こうちょう,（中小学的）校长
姿,すがた,（人或物的）外形；穿着；身影；面貌
詩,し,诗
次回,じかい,下次，下回
出会う,であう,遇见，遇到
植物,しょくぶつ,植物
世の中,よのなか,世间，社会
成長,せいちょう,成长，发育；发展
精神,せいしん,精神；意志；宗旨
製造,せいぞう,制造，生产
態度,たいど,态度，举止
庭園,ていえん,庭园
同僚,どうりょう,同僚，同事
任せる,まかせる,托付；任凭
認める,みとめる,承认；允许，认可
彼ら,かれら,他们，那些人
法律,ほうりつ,法律
豊か,ゆたか,丰富，富裕；饱满，丰满
理解,りかい,理解；体谅
離れる,はなれる,离，分离；离开，间隔
冷房,れいぼう,制冷（设备）
あいにく,あいにく,不凑巧，偏巧
いきなり,いきなり,冷不防，突然间
いずれ,いずれ,哪个；反正，迟早会；不久，过几天
いちいち,いちいち,一一，逐一
きっかけ,きっかけ,开端；机会，契机
キャンプ,camp,露营
ぎりぎり,ぎりぎり,最大限度，极限
コスト,cost,成本，生产费
さっさと,さっさと,赶快地，迅速地
じっと,じっと,（身体或视线）一动不动；精神集中
ショップ,shop,商店
スタイル,style,身材；式样；风格
すっきり,すっきり,清爽，舒畅；（文章等）清楚，明瞭；（装束）整洁，洗练
そのうち,そのうち,不久，过几天
たまたま,たまたま,偶然，碰巧；偶尔
つながる,つながる,连接；有关联
トップ,top,首位，最高
のんびり,のんびり,悠闲自在
バランス,balance,平衡
ファイル,file,文件夹；文件；归档
プラス,plus,加；加号；正数；正极；有用；阳性；盈利
プラン,plan,计划，方案
まさか,まさか,怎能，想不到，难道；万一
ミス,miss,错误，失误，失败
メディア,media,手段，媒介
モデル,model,模型；模范；模特
愛情,あいじょう,爱，爱护；爱情
安定,あんてい,稳定；安稳
偉大,いだい,伟大，出色
違反,いはん,违反
医療,いりょう,医疗，治疗
一言,ひとこと,一句话，三言两语
一瞬,いっしゅん,一瞬间
印,しるし,记号；象征
宇宙,うちゅう,宇宙
沿う,そう,沿着；遵照
穏やか,おだやか,平稳；温和
何となく,なんとなく,总觉得，不由得
画面,がめん,画面，屏幕
芽,め,芽；苗头
解説,かいせつ,解说，讲解
解放,かいほう,解放
回復,かいふく,恢复；康复
改善,かいぜん,改善
開発,かいはつ,开发；研发
外部,がいぶ,外部，外边；外界
害,がい,害，害处
拡大,かくだい,扩大
覚悟,かくご,决心，精神准备，死心
株式会社,かぶしきがいしゃ,股份有限公司
勧める,すすめる,劝告；劝诱
完了,かんりょう,完结，完成
監督,かんとく,监督；导演；教练
管理,かんり,管理，管辖
関わる,かかわる,关系到；有牵连；拘泥
含む,ふくむ,含有，包含；怀（恨）
含める,ふくめる,包含，包括
寄せる,よせる,使靠近；聚集；寄送
旗,はた,旗帜
機器,きき,机械、器械、器具的总称
気楽,きらく,轻松，安闲；无忧无虑，想得开
記憶,きおく,记忆
記者,きしゃ,记者
義務,ぎむ,义务，本分
議員,ぎいん,议员
議論,ぎろん,议论，讨论
休憩,きゅうけい,休息，歇
急速,きゅうそく,迅速，快速
求める,もとめる,寻求；想要；要求
許可,きょか,许可，允许
競技,きょうぎ,体育比赛
恐れる,おそれる,害怕；担心
教授,きょうじゅ,教；教授
近づく,ちかづく,靠近；临近；亲近
近年,きんねん,近几年
金額,きんがく,金额
